time,forward_velocity,right_velocity,down_velocity,forward_position,right_position,down_position,horizontal_distance,3d_displacement,path_distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0250591496,0.0839177352,0.0649408094,0.000125295748,0.000419588676,0.00032470404699999996,0.00043789688454510894,0.000545148052947537,0.000545148052947537
0.02,0.049877940448,0.167792258976,0.129765490072,0.0004999811982400001,0.00167813864688,0.00129823554436,0.0017510369832604174,0.0021798041300505533,0.00217980422235308
0.03,0.0718980574089634,0.2416364665085165,0.1869294148867158,0.001108861187524817,0.0037252822743025823,0.0028817100691535787,0.003886811180959524,0.004838548757540125,0.004838548934302427
0.04,0.091161081814438,0.3066303420093513,0.237289366668678,0.001924156883641824,0.006466616316891922,0.005002803976930549,0.006746814530040015,0.008399259130087081,0.008399259364929256
0.05,0.1079300091102871,0.3636321114354691,0.2816427360968789,0.0029196123382654498,0.009817928584116025,0.007597464490758333,0.010242844228462831,0.012752933959559586,0.012752934669382236
0.06,0.1224713378279424,0.4136008275158361,0.3207070437689389,0.004071619072956597,0.013704093278872549,0.01060921339008742,0.01429616222876978,0.017802686966514745,0.017802689810392125
0.07,0.1350523797967872,0.4573804566519424,0.3550820282926127,0.0053592376610802454,0.018058999699711444,0.01398815875039518,0.01883743343616956,0.02346310899451256,0.02346311764852333
0.08,0.1459083694266786,0.4957136892770991,0.3853304084457066,0.0067640414071975736,0.022824470429356647,0.017690220934086776,0.02380564442603601,0.029658938336286775,0.02965895893539712
0.09,0.155302078853735,0.5292540929726204,0.4119473767526902,0.00827009364859964,0.02794930934060524,0.021676609860078758,0.02914718411053547,0.03632401074495374,0.036324051874685466
0.1,0.1634192831536587,0.5586824938820085,0.4353831776045678,0.009863700458636611,0.03338899227487839,0.025913262631865053,0.03481547632690952,0.04340062870624815,0.04340070078494682
0.11,0.1705446746834455,0.5844979915878844,0.456027234846872,0.011533520247822131,0.03910489470222785,0.030370314694122248,0.04077026954754225,0.05083867517549281,0.0508387886960303
0.12,0.1770079628604811,0.6071464022969845,0.474218434430174,0.013271283435541764,0.04506311667165219,0.035021543040507475,0.046976711764335134,0.058594538355784834,0.05859469967177917
0.13,0.1828886000870954,0.6271125645296688,0.4903509639485248,0.015070766250279649,0.05123441150578546,0.03984439003240097,0.05340498963313007,0.06663083621544025,0.06663104656807185
0.14,0.1882565044773391,0.6447183481031072,0.5046771886681689,0.016926491773101824,0.057593566068949345,0.044819530795484445,0.06002936761522078,0.07491538771848341,0.07491564611100429
0.15,0.1931656933372401,0.6603376517537236,0.5174138651649512,0.018833602762174717,0.06411884606823348,0.04992998606465004,0.06682762164049545,0.08342022849729772,0.0834205332032497
0.16,0.1976006400242261,0.6742088530722565,0.5287517392256152,0.02078743442898205,0.07079157859236339,0.05516081408660287,0.07378051931057406,0.09212100976669088,0.09212135956147839
0.17,0.2016182535990467,0.6865417243385561,0.5388500849216058,0.022783528897098414,0.07759533147941745,0.060498823207338986,0.08087103719135541,0.10099619926451911,0.10099659408496019
0.18,0.2052686140351619,0.697321386471367,0.5477294035081572,0.02481796323526945,0.08451464703346706,0.0659317206494878,0.08808323825983415,0.11002567268660894,0.11002611375268058
0.19,0.2085957917092163,0.7067342245667079,0.5555359782384023,0.026887285263991346,0.09153492508865745,0.0714480475582206,0.09540214158944953,0.11919057059908358,0.11919106111721853
0.2,0.21165563704241,0.7149442575090751,0.5623980394614254,0.02898854240774948,0.09864331749903636,0.07703771764671974,0.10281458883904357,0.12847431501415876,0.12847486076727502
0.21,0.2146240519988279,0.7222186610764335,0.5684289287980933,0.031119940852955663,0.10582913209196389,0.08269185248801732,0.11030981786781176,0.13786296959637065,0.13786357907701957
0.22,0.217512008223683,0.7286697107937843,0.5737463663028316,0.03328062115406822,0.11308357395131498,0.08840272896352194,0.11787915185478362,0.14734495895754648,0.14734564510572837
0.23,0.220329160764763,0.7344547697826783,0.5784987343661008,0.035469826999010454,0.1203991963541973,0.09416395446686661,0.12551523855722177,0.15691056507104426,0.15691134804244306
0.24,0.2228765171471674,0.7396537569305305,0.5828631796446493,0.037685855388570104,0.12776973898776334,0.09997076403692035,0.1332115982088999,0.16655174439042958,0.16655265075107203
0.25,0.2251864529099374,0.7442718536406285,0.5868862528726436,0.03992617023885563,0.13518936704061915,0.10581951119950682,0.14096192404612432,0.17626126341680373,0.17626232296196556
0.26,0.2272874585274291,0.7483361961407434,0.5906089186961503,0.04218853979604246,0.14265240728952602,0.1117069870573508,0.14876014989108835,0.18603234437336486,0.18603358990882488
0.27,0.2290323364648803,0.7519558055608326,0.5941677599997262,0.04447013877100401,0.1501538672980339,0.11763087045083019,0.15660069318769929,0.1958591299630628,0.19586059304311407
0.28,0.2304566980772288,0.7551840498704993,0.5975733806578992,0.04676758394371456,0.15768956657519057,0.12358957615411832,0.16447858922851888,0.20573669980963158,0.2057384061399361
0.29,0.2315843608841904,0.7581155034879964,0.6007353598203156,0.049077789238521644,0.165256064341983,0.12958111985650936,0.1723896638384749,0.21566052680453468,0.21566249465710943
0.3,0.2324200343665425,0.7607857812963844,0.6036420392493439,0.05139781121477531,0.1728505707659049,0.13560300685185767,0.18033040456830562,0.22562630670875625,0.22562854466591614
0.31,0.2329987572432382,0.7632262243927564,0.6063240549129908,0.05372490517282422,0.1804706307943506,0.14165283732266934,0.18829767395042288,0.23563009217139982,0.23563260033610636
0.32,0.2333513635869563,0.7652711952085413,0.608650722094314,0.05605665577697519,0.1881131178923571,0.14772771120770586,0.1962877830637509,0.24566719446997695,0.2456699686486798
0.33,0.2335709989179407,0.7669530193714681,0.6106287313314548,0.058391267589499675,0.19577423896525714,0.15382410847483471,0.20429658042447546,0.25573218241201456,0.25573521817601236
0.34,0.2336736197577195,0.7683152744798799,0.6122999215777148,0.06072749068287798,0.2034505804345139,0.15993875173938057,0.2123204342586451,0.2658201856739455,0.2658234796192602
0.35,0.2336732678452373,0.7694114398662597,0.613701111112,0.06306422512089276,0.21113921400624455,0.16606875690282913,0.22035622110862532,0.2759269762102364,0.2759305255446557
0.36,0.2335822999107654,0.7704260383370591,0.6149832662998473,0.06540050295967277,0.21883840139726116,0.17221217878988837,0.22840199586143498,0.2860498317374919,0.2860536334223957
0.37,0.2334115898769427,0.7713688579221478,0.6161606712628296,0.06773547240861132,0.2265473758785572,0.17836789847770176,0.23645677774146806,0.2961872970726965,0.29619134789636287
0.38,0.2332093968384883,0.7722485120878111,0.6172458960279303,0.07006857734218848,0.234265462728607,0.18453493131415558,0.24451975903432957,0.3063381357802628,0.30634243341771933
0.39,0.2329825635529904,0.7730178882051095,0.6182072689377562,0.07239953714414588,0.2419917947300716,0.19071219713898402,0.25259002691192634,0.31650096971880887,0.3165055133084705
0.4,0.2327340468500942,0.773690219639847,0.6190596522149403,0.0747281201961613,0.24972533526929638,0.1968985317447475,0.2606665207183585,0.32667425185749144,0.3266790419075571
0.41,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
0.42,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
0.43,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
0.44,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
0.45,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
0.46,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
0.47,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
0.48,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
0.49,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
0.5,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
0.51,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
0.52,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
0.53,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
