time,heading_deg,forward_velocity,right_velocity,stationary,world_x,world_y,old_buggy_world_x,old_buggy_world_y
0.019504,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
0.024202,0.0,0.009483371732702394,0.0,False,4.455288040023586e-05,0.0,4.455288040023586e-05,0.0
0.039519,0.0,0.03403479914626275,0.0,False,0.0005658638989235424,0.0,0.0005658638989235424,0.0
0.059027,7.855190026971557,0.05569947670105897,0.0,False,0.0016422534827973386,0.00014850345691261045,0.0016524492904078012,0.0
0.078503,-13.662383944305496,0.06680682298930128,0.0,False,0.002906566922935976,-0.00015882369951032094,0.002953578974947433,0.0
0.09817,-12.970857386464004,0.06486769860762186,0.0,False,0.0041497682921372665,-0.00044517339024532573,0.004229332003463531,0.0
0.118543,-12.630796304385974,0.062218442131678466,0.0,False,0.005386668467692589,-0.000722351467773308,0.005496908325012217,0.0
0.138369,-13.695348198464824,0.059934845711280826,0.0,False,0.006541152286405791,-0.0010036849866343657,0.00668517657608407,0.0
0.158983,-16.209388127580027,0.05779161935740003,0.0,False,0.007685111467875996,-0.0013362391247226863,0.007876493017517515,0.0
0.178772,-18.35927365923979,0.0561560659073497,0.0,False,0.008739820244921835,-0.0016862615761287498,0.008987765405758057,0.0
0.198839,-19.142641751430222,0.05578554457867482,0.0,False,0.009797368998663777,-0.0020533523404373615,0.010107213928818325,0.0
0.2189,-19.637249004369206,0.05638052163638809,0.0,False,0.010862635857898966,-0.002433457348358081,0.011238263573365907,0.0
0.239016,-18.690541872605127,0.05788530304589925,0.0,False,0.011965648778004918,-0.002806603693977357,0.012402684329437216,0.0
0.259049,-18.828282911053975,0.05951687179184928,0.0,False,0.013094150294999924,-0.0031913986723888974,0.013594985822043331,0.0
0.279679,-20.14922085506885,0.061577093790959984,0.0,False,0.014286739532889964,-0.003628986437594013,0.014865321266950837,0.0
0.299294,-19.791296725775187,0.06302593867513281,0.0,False,0.015449970544203738,-0.004047575783455208,0.016101575054063566,0.0
0.319242,-20.02426354106518,0.06420241153919323,0.0,False,0.01665325840007731,-0.00448611390650897,0.017382284759447395,0.0
0.339171,-18.540424391103162,0.0652279141685587,0.0,False,0.01788571869802318,-0.004899456480061346,0.0186822118609126,0.0
0.35978,-18.497264498456566,0.06695111349496588,0.0,False,0.019194232309498946,-0.005337209543937204,0.02006200735893035,0.0
0.379354,-18.382550136255546,0.06920591147965778,0.0,False,0.02047974456564278,-0.00576440776146471,0.021416643870233173,0.0
0.399492,-18.258088675453777,0.07232790782084512,0.0,False,0.021862954360155163,-0.006220738464504667,0.02287318327792935,0.0
0.419252,-18.196719511172265,0.07592035108604596,0.0,False,0.02328811608807864,-0.006689217382162793,0.02437336941538962,0.0
0.439625,-18.176769215590582,0.07880302818943291,0.0,False,0.02481345579179355,-0.007190038342162746,0.025978823508692937,0.0
0.459704,-18.20978778986374,0.08025650788224839,0.0,False,0.026344221650521325,-0.007693618331822253,0.027590293930460603,0.0
0.480025,-18.234225124030946,0.08032670667684466,0.0,False,0.027894574266575732,-0.00820437473607301,0.02922261293684076,0.0
0.500253,-18.18287921666448,0.08019941529745464,0.0,False,0.02943584034860357,-0.008710606953317377,0.03084488670947767,0.0
0.52,-18.038913571393646,0.0797731608144059,0.0,False,0.030933690276893147,-0.009198412838746745,0.032420167316079745,0.0
0.539647,-17.992380730189183,0.07851944202514197,0.0,False,0.0324009214188322,-0.009674929431865415,0.03396283879354771,0.0
0.560247,-17.978420657408993,0.07709373367051425,0.0,False,0.033911508400835594,-0.010165119974995179,0.035550969707160304,0.0
0.579919,-17.877450593359903,0.07572412532014024,0.0,False,0.03532922632340533,-0.010622414298250721,0.037040614700458094,0.0
0.600047,-17.820057592280488,0.0732430250307457,0.0,False,0.03673273152600563,-0.01107357255611031,0.03851485030827695,0.0
0.619793,-17.74182765607969,0.07035931873368827,0.0,False,0.03805596979864388,-0.011496936397683528,0.03990416541599236,0.0
0.640071,-17.72554212064868,0.06856542984185424,0.0,False,0.03938033296181079,-0.011920245214972449,0.04129453520232547,0.0
0.660458,-17.734883127732378,0.06784214257650106,0.0,False,0.040697700663432146,-0.01234155478571342,0.0426776329630326,0.0
0.680539,-17.71064269592489,0.06715965922343005,0.0,False,0.04198241530111706,-0.012751822483229343,0.0440262660798983,0.0
0.700175,-17.722232109595534,0.06616818240275925,0.0,False,0.043220034442857436,-0.013147326336281465,0.04532554450955888,0.0
0.720824,-17.70585274738729,0.06457157292319674,0.0,False,0.04449021317089409,-0.013552835044614693,0.04665888291884997,0.0
0.740352,-17.68372359777264,0.06262615835126087,0.0,False,0.045655389083729965,-0.013924325433028472,0.04788184653913339,0.0
0.760819,-17.66962131092381,0.0606015097870335,0.0,False,0.04683720452374892,-0.01430080053894168,0.04912217763994461,0.0
0.780709,-17.677553963601763,0.05925978388611996,0.0,False,0.04796022509988221,-0.014658717421988201,0.050300854741439534,0.0
0.800475,-17.70606857028645,0.05785291303324036,0.0,False,0.04904957637388754,-0.015006500896520787,0.05144437542045457,0.0
0.820665,-17.637478659372892,0.05616576450010075,0.0,False,0.05013025747477346,-0.015350091331960384,0.0525783622057116,0.0
0.8409,-17.323837669980502,0.05409897407744212,0.0,False,0.05117529166329918,-0.015676060258120152,0.05367305494616864,0.0
0.861094,-17.128445406780774,0.051999128580369945,0.0,False,0.05217878820506766,-0.015985321540815535,0.05472312534872063,0.0
0.880796,-16.90368908497662,0.05046960159326284,0.0,False,0.05313017917907361,-0.01627444313226391,0.055717477439311096,0.0
0.900932,-16.722069017896203,0.049658609169301815,0.0,False,0.05408781981215704,-0.016562151199314736,0.05671740319354415,0.0
0.921063,-16.6712375754214,0.04883362723919273,0.0,False,0.055029567826441764,-0.016844173912694056,0.05770047294349634,0.0
0.941355,-16.593613032167756,0.04787036380171688,0.0,False,0.05596049933475578,-0.017121583655522347,0.05867185836576078,0.0
0.961227,-16.49274550058656,0.04722600103824957,0.0,False,0.056860361515144425,-0.0173880110486279,0.05961033345839288,0.0
0.981014,-16.45376885443101,0.04671898639564272,0.0,False,0.057746933445594215,-0.017649847674607873,0.06053476204220346,0.0
1.001414,-16.398334413720097,0.04566435586608547,0.0,False,0.05864059276738457,-0.017912837687599034,0.061466314901871606,0.0
1.020894,-16.27673137684188,0.0441532115622806,0.0,False,0.05946622364587221,-0.018153905123686784,0.062326419463104826,0.0
1.041316,-16.203061332954896,0.04210587794211114,0.0,False,0.06029195415275507,-0.018393849856070277,0.06318630570243862,0.0
1.06126,-16.144621155705916,0.03905230280740489,0.0,False,0.06104009733000874,-0.01861042161401056,0.06396516482962951,0.0
1.081562,-16.104762083405845,0.03490275616567601,0.0,False,0.06172088502619576,-0.018806982184018304,0.06467376058530505,0.0
1.101316,-16.10470531139084,0.031154780840198695,0.0,False,0.06231216480352077,-0.018977698926712566,0.06528919212602234,0.0
1.121519,-16.119009512747354,0.02801132540347351,0.0,False,0.06285582993377845,-0.019134815225712854,0.06585510493314872,0.0
1.141454,-16.14094580677594,0.0254484796922997,0.0,False,0.06334314737149145,-0.01927584952391094,0.06636242037581472,0.0
1.162623,-15.988613918445163,0.023174360643578074,0.0,False,0.06381474811321286,-0.01941097744180068,0.06685299841627862,0.0
1.181554,-15.728243799933255,0.02161717130774085,0.0,False,0.06420866031600228,-0.019521910717446727,0.06726223308630547,0.0
1.201809,-15.50178323031511,0.020231769935219288,0.0,False,0.0646035473672112,-0.019631435824380285,0.06767202758634333,0.0
1.221686,-15.455563460992517,0.019237150070141304,0.0,False,0.06497209646783968,-0.0197333357852911,0.06805440441828753,0.0
1.241835,-15.43265199098463,0.018849205789425977,0.0,False,0.06533819527790927,-0.01983440069672718,0.06843419706573867,0.0
1.261915,-15.40153633642011,0.019355971701641134,0.0,False,0.06571290545771379,-0.019937623885932437,0.06882286497750761,0.0
1.282155,-15.356039632553866,0.01952121139596981,0.0,False,0.0660939089269073,-0.02004225528729013,0.06921797429616204,0.0
1.301881,-15.293215112342521,0.01961493402563221,0.0,False,0.06646713161118309,-0.020144309957235727,0.06960489848475167,0.0
1.32203,-15.244661820140914,0.020010391943223942,0.0,False,0.06685613350011207,-0.02025032510903966,0.07000808787201569,0.0
1.341766,-15.218646240835595,0.020060649746047148,0.0,False,0.06723816611712079,-0.0203542545912693,0.07040400485540368,0.0
1.362681,-15.18341620252293,0.019158373810908663,0.0,False,0.06762487609821528,-0.020459201184717574,0.07080470224365884,0.0
1.38255,-15.064780780014855,0.017948764423668558,0.0,False,0.0679692438511546,-0.020551891682340884,0.07116132624399271,0.0
1.402315,-14.910055248849726,0.017124385351785194,0.0,False,0.06829631157997838,-0.02063897914223982,0.07149978972047075,0.0
1.422201,-14.820291138953898,0.015839709027736217,0.0,False,0.06860082126952845,-0.02071954945284206,0.0718147781741963,0.0
1.442222,-14.823057859622011,0.014579463861943346,0.0,False,0.06888300258389134,-0.020794226472120255,0.07210667362017627,0.0
1.462659,-14.775782520157245,0.013533153287292262,0.0,False,0.0691504335864598,-0.02086476387720806,0.07238325067390866,0.0
1.482903,-14.763336372072938,0.012990226479687082,0.0,False,0.06940472607400072,-0.02093177679866618,0.07264622481876346,0.0
1.50249,-14.587350733872496,0.012150054970546928,0.0,False,0.06963503776621098,-0.020991714207927926,0.07288420794547155,0.0
1.522395,-14.370195376973772,0.012067792718793345,0.0,False,0.06986773160319895,-0.02105133082335102,0.07312441735953913,0.0
1.542577,-14.352973744191528,0.012026718112854764,0.0,False,0.07010287869607346,-0.021111500655032363,0.07336714058449277,0.0
1.562633,-14.309069528751593,0.012334119035405027,0.0,False,0.07034257743828388,-0.0211726395078079,0.07361451367586686,0.0
1.58268,-14.345121487189617,0.012947094639295366,0.0,False,0.07059403530024837,-0.021236946249542057,0.07387406408210082,0.0
1.603135,-14.354474553795425,0.01440727280786829,0.0,False,0.07087953564220525,-0.021310008522994455,0.07416876484738576,0.0
1.622812,-14.379389790742248,0.015297492809575142,0.0,False,0.07117111457301736,-0.02138476147827882,0.07446977361339976,0.0
1.642685,-14.423332496538592,0.015380172411774555,0.0,False,0.07146713119845785,-0.02146089413648805,0.07477542377973896,0.0
1.662978,-14.438260370768985,0.0148031109789251,0.0,False,0.07175804317441778,-0.02153579474079391,0.07507582331083429,0.0
1.683201,-14.524123616668883,0.014206395845185675,0.0,False,0.07203615775275382,-0.021607845002993547,0.07536311925401147,0.0
1.703184,-14.507732304951503,0.012883892004690926,0.0,False,0.07228540719419556,-0.021672341179710376,0.07562057806794122,0.0
1.723076,-14.544420599486845,0.011486750749850824,0.0,False,0.07250657913193287,-0.021729723108677566,0.07584907251385725,0.0
1.742976,-14.556098929519177,0.010921773215351302,0.0,False,0.07271694613985946,-0.02178434752056153,0.07606641580084274,0.0
1.763745,-14.579717889370691,0.010467984742632804,0.0,False,0.0729273547657132,-0.02183907533360101,0.07628382537596248,0.0
1.783477,-14.589027139748099,0.009330903755126333,0.0,False,0.07310553574016115,-0.021885451563629466,0.07646794276885864,0.0
1.803384,-14.489033912145938,0.007928532754328218,0.0,False,0.0732583492394012,-0.021924940619393842,0.07662577607039905,0.0
1.823738,-14.198963472673748,0.006367785312399342,0.0,False,0.07338399953160006,-0.021956732612587505,0.07675538597264762,0.0
1.843576,-13.444047665119683,0.005165837541951785,0.0,False,0.07348367120436211,-0.021980558743424358,0.07685786585780487,0.0
1.86401,-12.700706398622183,0.004517315517730506,0.0,False,0.07357371945087117,-0.022000853158804807,0.07695017268309418,0.0
1.883923,-12.283044300998545,0.004488679529174297,0.0,False,0.07366105642030699,-0.022019868624858784,0.07703955575855863,0.0
1.903773,-12.18282296617763,0.004145758159267134,0.0,False,0.07374149640921233,-0.02203723512482741,0.07712184905802008,0.0
1.923819,-12.146175432922025,0.004342900704154872,0.0,False,0.07382660531977739,-0.02205555264948336,0.07720890684553557,0.0
1.943644,-12.077716041922297,0.004524348499559941,0.0,False,0.07391431509747275,-0.022074320318887487,0.07729860205453934,0.0
1.964179,-11.719764440727873,0.0054810307301261536,0.0,False,0.0740245216493176,-0.02209718264806842,0.07741115502058248,0.0
1.984461,-11.158002785075354,0.00664418826073553,0.0,False,0.07415673179151312,-0.022123260267683346,0.07754591244688672,0.0
2.00418,-10.81849395776519,0.00793351082872579,0.0,False,0.07431039222308265,-0.022152623969299026,0.07770235334691836,0.0
2.02386,-10.420220149283471,0.007890181247372986,0.0,False,0.07446311008647041,-0.022180708656715127,0.07785763211386666,0.0
2.044552,-10.392426661419897,0.006813853022759298,0.0,False,0.07460178940097624,-0.022206142126217774,0.0779986243606136,0.0
2.064526,-10.377655910370986,0.005330401842490936,0.0,False,0.0747065171982947,-0.022225321059607114,0.07810509380701551,0.0
2.084638,-10.392895590464002,0.0041597049367355235,0.0,False,0.07478880464543913,-0.022240413085571356,0.07818875379270314,0.0
2.10515,-10.537652354107339,0.0034644333850760013,0.0,False,0.07485866863026702,-0.02225340910432191,0.07825981625029782,0.0
2.12441,-10.709346334832372,0.0031050255496249592,0.0,False,0.07491742980702613,-0.02226452207184365,0.0783196190423836,0.0
2.144117,-11.047752164661244,0.0029251680408091544,0.0,False,0.07497400778202372,-0.022275568659627338,0.07837726532896383,0.0
2.165205,-11.52111821733536,0.0019564845299247726,0.0,False,0.0750144348197581,-0.022283809152055387,0.07841852367473089,0.0
2.184633,-12.00947462959302,0.0003478990610480718,0.0,False,0.07502104587025092,-0.022285215516875952,0.07842528265768893,0.0
2.205434,-12.296695519251104,-0.0013834178582641094,0.0,False,0.0749929295893211,-0.022279086874888953,0.07839650618281918,0.0
2.224349,-12.475943157597703,-0.0017152222116254506,0.0,False,0.07496125225441673,-0.022272078131608548,0.07836406275468628,0.0
2.244632,-12.531831979432159,-0.0018542389909418338,0.0,False,0.074924538749118,-0.02226391754128819,0.07832645322523302,0.0
2.265494,-12.604940791046317,-0.0026821600465640754,0.0,False,0.07486993216196602,-0.022251706578654464,0.07827049800234159,0.0
2.285127,-12.591169508558442,-0.0035791657651967975,0.0,False,0.07480135236220271,-0.0222363882745313,0.07820022824087348,0.0
2.304922,-12.352650830547955,-0.004063337631054893,0.0,False,0.07472278068364595,-0.022219181228623288,0.07811979447246675,0.0
2.324827,-11.986682565829128,-0.004665771683185221,0.0,False,0.0746319334927214,-0.022199893130907096,0.07802692228711296,0.0
2.344905,-11.29481954296853,-0.004517932269952832,0.0,False,0.07454297930643478,-0.022182126694384248,0.07793621124299685,0.0
2.365861,-10.77412124673175,-0.0035201547471360502,0.0,False,0.07447051134811888,-0.02216833661172797,0.07786244288011586,0.0
2.385159,-10.723085641927206,-0.0026676412474526947,0.0,False,0.07441993015828507,-0.022158758087253982,0.07781096273932252,0.0
2.405466,-10.671034334492957,-0.0027118846328728213,0.0,False,0.0743658122723881,-0.02214856073974362,0.07775589249808276,0.0
2.425126,-10.769877456698794,-0.0034466506494583733,0.0,False,0.07429924469072927,-0.022135898561373834,0.07768813134631442,0.0
2.445461,-10.948557383971268,-0.004728812426767244,0.0,False,0.07420483459161545,-0.022117635049997916,0.07759197094561611,0.0
2.466277,-10.980709045463286,-0.006242632575772025,0.0,False,0.07407726709668007,-0.02209288301160662,0.07746202430591884,0.0
2.486457,-11.031472170517095,-0.007613791483851791,0.0,False,0.07392645982647243,-0.022063483071334322,0.0773083779937747,0.0
2.505572,-11.008739589168965,-0.00891267093414902,0.0,False,0.0737592291798443,-0.022030950253495333,0.07713801228886845,0.0
2.525717,-10.909152849493449,-0.009986246410402397,0.0,False,0.0735616917440571,-0.02199287781186539,0.07693683935493088,0.0
2.54556,-10.873625354810192,-0.009671049033376991,0.0,False,0.07337323460425169,-0.021956676647377604,0.07674493672896159,0.0
2.566577,-10.88479426384603,-0.009220202415283265,0.0,False,0.07318293995066151,-0.02192008404548305,0.07655115573479958,0.0
2.585897,-10.921861019702938,-0.010070670575187655,0.0,False,0.0729918988561817,-0.021883219729597506,0.07635659037928695,0.0
2.605971,-10.905829781015244,-0.012154272281086117,0.0,False,0.0727523204909696,-0.02183705892701053,0.07611260551751643,0.0
