time_seconds,forward_acceleration,right_acceleration,down_acceleration
0.019504,2.666342333333333,8.396465666666666,6.470729333333332
0.024202,2.037169461400723,6.23538751221969,4.877673213199133
0.039519,1.610622482425029,4.95520344796029,3.9076956664331726
0.059027,1.1190769189302736,3.2730623495663744,2.613746043112198
0.078503,0.5794490351482914,1.6037383616030716,1.320104433947576
0.09817,-0.10036479219419854,-0.1072162074997129,0.040375329324407946
0.118543,-0.17426261039622376,-0.1225271897384177,0.0003231763507759389
0.138369,-0.1800261896816686,-0.15749320961061133,-0.02084305020701934
0.158983,-0.1761974007282682,-0.1777900349951262,-0.02480023659738428
0.178772,-0.14326755930394505,-0.160615730057287,-0.013370913258597742
0.198839,-0.06163626187765527,-0.1225487595084654,-0.00967779319342876
0.2189,0.014488659007638228,-0.07125090277645355,0.014744924233272238
0.239016,0.09813515383113597,-0.014716199767246741,0.05539877670387265
0.259049,0.13673866633150836,0.0527952231885679,0.07485377699779358
0.279679,0.17060220810359886,0.068002661507395,0.09427586081383298
0.299294,0.15298595306530333,0.08311154439311377,0.11101986580621345
0.319242,0.13513213675225397,0.08448329653527076,0.10574405980713233
0.339171,0.09835047124739128,0.04925680741778094,0.059823714206996906
0.35978,0.09799460654996935,-0.022927150399115557,0.030117603393110322
0.379354,0.11304761767010432,-0.04887527601326156,0.002153715252805462
0.399492,0.1576419688261602,-0.023856917036188353,-0.01930312844699278
0.419252,0.19854217558189272,0.006376386156828728,-0.01638970938184874
0.439625,0.18793103661993482,0.05321031982419257,0.034879478243559726
0.459704,0.1589424623681018,0.10082175027675686,0.1234247663205668
0.480025,0.09446212306542397,0.09972399059555956,0.1584034862856612
0.500253,0.06708193107969537,0.017565739225724707,0.18719640675508023
0.52,0.0411494162825238,-0.02224635020199405,0.19887313829173542
0.539647,0.008809823256005201,-0.004249183947917673,0.22390870982731204
0.560247,-0.0075684765623692364,0.004129579898890523,0.1891097938193297
0.579919,-0.015158279089943893,0.012064680732630622,0.16265019168799524
0.600047,-0.08115459467770816,0.02854386296632954,0.12956026070300017
0.619793,-0.11816028172833418,0.028455591058815115,0.09640623730573059
0.640071,-0.09394043506382553,-0.006714325903778798,0.016614155540669275
0.660458,-0.07533734283646751,-0.0689312428835876,-0.0406022100343417
0.680539,-0.08024032861425304,-0.07570219191781585,-0.05310710477192123
0.700175,-0.0695845756645356,-0.011042569763962135,-0.029232344227062862
0.720824,-0.0696617352766892,0.03874392802631908,0.010549817919568837
0.740352,-0.0802692744898159,0.05506052144920763,0.035975283759978875
0.760819,-0.07382093402361795,0.06152937573955034,0.046401906792693
0.780709,-0.05095688555982314,0.03779517496491272,0.033634661539946695
0.800475,-0.07309886896436532,-0.002511764988442152,0.017907086702194857
