time_seconds,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1.001414,2.877831,8.449138,3.574543,-0.082467,0.112399,-0.067806,0.83460736,0.51264387,-0.19740458,-0.04072346
1.020894,2.961627,8.494628,3.734955,-0.150884,0.136834,-0.130114,0.83509308,0.51239169,-0.19604175,-0.04052098
1.041316,2.636016,8.434772,4.115633,-0.163712,0.116675,-0.147829,0.83582211,0.51174414,-0.19452243,-0.04099312
1.061260,2.444480,8.384495,4.141969,-0.105069,0.089186,-0.097738,0.83674741,0.51081103,-0.19281724,-0.04180247
1.081562,2.449268,8.379706,3.988740,-0.069028,0.038485,-0.032376,0.83741003,0.51014638,-0.19156107,-0.04242115
1.101316,2.504335,8.377312,3.948039,-0.057421,-0.014050,0.017715,0.83781296,0.50961053,-0.19113456,-0.04282643
1.121519,2.616863,8.470686,4.201824,-0.065973,-0.037263,0.028100,0.83808237,0.50909799,-0.19129005,-0.04295969
1.141454,2.652776,8.367735,4.247314,-0.017715,-0.009163,0.026878,0.83839297,0.50845963,-0.19159728,-0.04308707
1.162623,2.592921,8.415619,4.005499,0.016493,-0.001222,0.028711,0.83863223,0.50837839,-0.19101268,-0.04197238
1.181554,2.588132,8.420407,3.971981,0.003665,-0.025045,0.040928,0.83872181,0.50878668,-0.18995160,-0.04000474
1.201809,2.628834,8.499416,4.077325,-0.000611,-0.055589,0.061697,0.83880436,0.50906813,-0.18920650,-0.03818117
1.221686,2.770091,8.506598,4.103662,0.002443,-0.039095,0.065973,0.83881241,0.50899923,-0.18948667,-0.03752851
1.241835,2.755726,8.485051,4.027047,0.009163,-0.015272,0.039095,0.83881801,0.50887424,-0.18989460,-0.03703284
1.261915,2.722207,8.494628,3.950433,-0.001833,0.003054,0.035430,0.83880186,0.50887984,-0.19003093,-0.03662029
1.282155,2.782062,8.508993,4.094085,-0.004276,-0.021380,0.035430,0.83884966,0.50883389,-0.19002987,-0.03616919
1.301881,2.892196,8.499416,4.187459,0.014661,-0.010996,0.029932,0.83888078,0.50882041,-0.19005062,-0.03552084
1.322030,2.719813,8.465898,4.000711,0.041539,0.006720,0.010996,0.83888131,0.50884759,-0.19006948,-0.03501039
1.341766,2.762909,8.489840,3.830723,0.030543,-0.018326,0.026267,0.83871561,0.50916374,-0.19000612,-0.03472929
1.362681,2.820370,8.520964,3.991134,-0.001833,-0.017104,0.015882,0.83854675,0.50943434,-0.19011453,-0.03424232
1.382550,2.719813,8.437167,4.015076,0.003054,0.022602,-0.007941,0.83856654,0.50959772,-0.18976404,-0.03325566
1.402315,2.676718,8.444349,4.012682,0.013439,-0.004887,0.012828,0.83863068,0.50986731,-0.18893321,-0.03222129
1.422201,2.640805,8.477868,4.070143,0.029932,-0.015882,0.020159,0.83858752,0.51009679,-0.18862994,-0.03148027
1.442222,2.870648,8.379706,3.895366,0.034208,0.009163,0.023213,0.83843857,0.51029092,-0.18878713,-0.03135876
1.462659,2.715025,8.386889,3.854665,0.012828,-0.004887,0.005498,0.83829957,0.51057416,-0.18871880,-0.03087152
1.482903,2.734178,8.370130,3.924097,-0.006720,0.025045,0.006720,0.83822984,0.51069987,-0.18871227,-0.03072493
1.502490,2.743755,8.429984,4.003105,-0.014661,0.011606,0.013439,0.83835059,0.51088190,-0.18787770,-0.02949427
1.522395,2.770091,8.444349,4.113238,0.017715,-0.040928,0.036652,0.83850199,0.51106042,-0.18695724,-0.02790690
1.542577,2.803610,8.468291,3.993528,0.026878,-0.002443,0.039706,0.83837324,0.51117593,-0.18728146,-0.02748054
1.562633,2.925714,8.449138,3.909731,0.031765,-0.042150,0.036041,0.83826315,0.51134998,-0.18737903,-0.02693172
1.582680,2.770091,8.468291,3.900155,0.015882,-0.016493,0.015882,0.83803189,0.51151752,-0.18796726,-0.02684789
1.603135,2.861071,8.429984,3.964798,0.007941,-0.018326,0.018326,0.83792365,0.51161736,-0.18818931,-0.02676550
1.622812,2.880225,8.449138,4.012682,0.019548,-0.032987,0.017715,0.83785087,0.51161915,-0.18850414,-0.02679496
