time_seconds,vehicle_forward_acc,vehicle_right_acc,vehicle_down_acc,acceleration_magnitude,gyro_magnitude,stationary,forward_velocity,right_velocity,down_velocity
0.019504,2.305616,8.439561,6.500257999999999,10.899330671134855,0.0,False,0.0,0.0,0.0
0.024202,2.5187,8.355764,6.514622999999999,10.890498360764994,0.1581298336083359,False,0.011832852600000002,0.0,0.0
0.039519,3.174711,8.394072,6.397307,11.021105730685736,0.10733675270381529,False,0.06045990098699999,0.0,0.0
0.059027,0.1496508456028917,-0.247846951121239,0.0985048527965322,0.3058213412994928,0.07041134062777103,False,0.0633792896830212,0.0,0.0
0.078503,-0.0955654334777457,-0.16553280907731,0.0277854793693332,0.1931473422561083,0.015717491212022358,False,0.06151805730060862,0.0,0.0
0.09817,-0.1521118174737769,0.0288555080304207,0.0305098833951262,0.15780208599271903,0.03478192779303643,False,0.05852647418635185,0.0,0.0
0.118543,-0.179439418909912,0.0091440601834861,0.046414954176889,0.18557065195393585,0.04561844236709535,False,0.05487075490490022,0.0,0.0
0.138369,-0.2243581367124498,-0.1607008455139223,-0.0013385231158409,0.27597667818513844,0.06434679588759647,False,0.05042263048643919,0.0,0.0
0.158983,-0.2198382454072344,-0.324401862314763,-0.1017559120716278,0.40486996438183304,0.06698363865900388,False,0.04589088489561446,0.0,0.0
0.178772,-0.1243833299049699,-0.3403629084382781,-0.0780456534196432,0.37068753177914054,0.01623154983358028,False,0.043429463180125014,0.0,0.0
0.198839,-0.132967872706775,-0.0726286188921536,0.0107239514433015,0.15188934982053579,0.05662979652091291,False,0.04076119687851816,0.0,0.0
0.2189,-0.0147902117882963,0.095015584872682,0.1035615708708217,0.14132130304618876,0.07699322376677055,False,0.04046449043983315,0.0,0.0
0.239016,0.1837983504189992,0.0296340072301856,0.017127077210004,0.18695813642369608,0.08425738242433123,False,0.044161778056861736,0.0,0.0
0.259049,0.1607863590192331,-0.0679125786547036,0.0203576750618772,0.17572366522502883,0.0660950767455489,False,0.047382811187094025,0.0,0.0
0.279679,0.2938491442125188,-0.0576893933922441,0.1252236089333589,0.3245864105268265,0.08777320801930394,False,0.0534449190321983,0.0,0.0
0.299294,0.0600496897950869,0.2649284958869196,0.1079989529129061,0.29233003097129084,0.062044245293177674,False,0.054622793697528926,0.0,0.0
0.319242,0.1545274970721563,0.1710527764668175,0.2006719899510187,0.305625665216935,0.03760173025274236,False,0.057705308209124305,0.0,0.0
0.339171,0.0957170752275215,0.1051784216587795,0.1008471021719064,0.1743398889790112,0.02694744850630575,False,0.059612853801333576,0.0,0.0
0.35978,0.0715172774539864,-0.0610538179439187,-0.0060213549335284,0.09422603873237571,0.047273701790741966,False,0.06108675337238278,0.0,0.0
0.379354,0.1099408166882053,-0.2338218389796932,-0.1043781190673183,0.2786654397264691,0.019015242123096934,False,0.06323873491823771,0.0,0.0
0.399492,0.0582703663079772,-0.0959912931975629,-0.0405316011565268,0.119384147405416,0.06330362859268021,False,0.06441218355494775,0.0,0.0
0.419252,0.2297925526728312,0.0413121483960875,0.0608525492494944,0.24127648791201847,0.07424737441822438,False,0.0689528843957629,0.0,0.0
0.439625,0.3186888310078009,0.2302702165441455,-0.0064371163270848,0.39322815273453493,0.06393096277235312,False,0.07544553194988482,0.0,0.0
0.459704,0.276018311232649,0.0901126980211667,0.0085457403921918,0.2904813869411055,0.054671948136132846,False,0.08098770362112519,0.0,0.0
0.480025,0.0568851218784158,0.000347829357126,0.151967819059724,0.16226600416030745,0.09628623420302614,False,0.08214366618281647,0.0,0.0
0.500253,-0.0866725049511878,0.1420658590652585,0.4021948392285086,0.43526488501659477,0.12513799228451766,False,0.08039045475266385,0.0,0.0
0.52,-0.0926091438405581,0.0358233499901011,0.2357461490749663,0.2558046378216601,0.08090427791532412,False,0.07856170198924434,0.0,0.0
0.539647,0.181787871079158,-0.1805210403050288,0.1375274860200104,0.29077222266799585,0.06023131625657869,False,0.08213328829233654,0.0,0.0
