time,forward_acceleration,right_acceleration,down_acceleration,stationary,forward_velocity,right_velocity,down_velocity,velocity_magnitude
0.0,2.5187,8.394072,6.500257999999999,False,0.0,0.0,0.0,0.0
0.01,2.50591496,8.391773520000001,6.494080939999999,False,0.0250591496,0.08391773520000001,0.0649408094,0.10902961058950741
0.02,2.4818790848,8.3874523776,6.482468067199999,False,0.049877940448,0.16779225897600003,0.129765490072,0.2179016602259598
0.03,2.2020116960963474,7.384420753251652,5.7163924814715825,False,0.07189805740896348,0.24163646650851656,0.18692941488671583,0.3138472857231586
0.04,1.9263024405474563,6.499387550083472,5.035995178196219,False,0.09116108181443805,0.3066303420093513,0.23728936666867803,0.3982948066600577
0.05,1.6768927295849083,5.700176942611784,4.435336942820088,False,0.10793000911028713,0.36363211143546914,0.2816427360968789,0.47244029266109416
0.06,1.45413287176553,4.996871608036699,3.9064307672059972,False,0.12247133782794242,0.4136008275158361,0.3207070437689389,0.5375108194577691
0.07,1.2581041968844768,4.377962913610624,3.4374984523673766,False,0.1350523797967872,0.4573804566519424,0.3550820282926127,0.5945748684836173
0.08,1.0855989629891503,3.8333232625156786,3.0248380153093906,False,0.14590836942667867,0.49571368927709913,0.3853304084457066,0.6445935445522237
0.09,0.9393709427056393,3.3540403695521266,2.6616968306983626,False,0.15530207885373506,0.5292540929726204,0.4119473767526902,0.6884252115066573
0.1,0.8117204299923662,2.9428400909388133,2.3435800851877553,False,0.16341928315365872,0.5586824938820085,0.4353831776045678,0.7269047409514722
0.11,0.7125391529786868,2.581549770587591,2.0644057242304252,False,0.17054467468344559,0.5844979915878844,0.456027234846872,0.7607129729110954
0.12,0.6463288177035522,2.264841070910011,1.8191199583301996,False,0.1770079628604811,0.6071464022969845,0.47421843443017403,0.7904692886454188
0.13,0.5880637226614339,1.996616223268432,1.6132529518350742,False,0.18288860008709543,0.6271125645296688,0.4903509639485248,0.8168001447588285
0.14,0.5367904390243697,1.7605783573438423,1.432622471964414,False,0.18825650447733913,0.6447183481031072,0.5046771886681689,0.8401198275370201
0.15,0.49091888599010414,1.5619303650616347,1.273667649678233,False,0.19316569333724015,0.6603376517537236,0.5174138651649512,0.8608576579615314
0.16,0.4434946686985942,1.3871201318532922,1.133787406066394,False,0.1976006400242261,0.6742088530722565,0.5287517392256152,0.8793076777972
0.17,0.40176135748206554,1.2332871266299508,1.0098345695990556,False,0.20161825359904675,0.6865417243385561,0.5388500849216058,0.8957392887788888
0.18,0.36503604361152026,1.0779662132810865,0.8879318586551456,False,0.20526861403516194,0.697321386471367,0.5477294035081572,0.9101647210289288
0.19,0.33271776740544046,0.9412838095340859,0.7806574730245047,False,0.20859579170921635,0.7067342245667079,0.5555359782384023,0.922824843407458
0.2,0.30598453331937225,0.8210032942367252,0.6862061223023139,False,0.21165563704241008,0.7149442575090751,0.5623980394614254,0.9339351984089079
0.21,0.2968414956417873,0.7274403567358487,0.6030889336667861,False,0.21462405199882795,0.7222186610764335,0.5684289287980933,0.943808627422943
0.22,0.28879562248551255,0.6451049717350774,0.5317437504738347,False,0.21751200822368308,0.7286697107937843,0.5737463663028316,0.9526048047304295
0.23,0.28171525410799075,0.5785058988894081,0.4752368063269139,False,0.220329160764763,0.7344547697826783,0.5784987343661008,0.9605360657481905
0.24,0.25473563824044176,0.5198987147852191,0.4364445278548511,False,0.2228765171471674,0.7396537569305305,0.5828631796446493,0.9677247068369034
0.25,0.23099357627699865,0.4618096710098049,0.4023073227994358,False,0.2251864529099374,0.7442718536406285,0.5868862528726436,0.9742099386203721
0.26,0.2101005617491687,0.4064342500114835,0.3722665823506704,False,0.2272874585274291,0.7483361961407434,0.5906089186961503,0.9800436449983699
0.27,0.17448779374512594,0.3619609420089176,0.3558841303575859,False,0.22903233646488036,0.7519558055608326,0.5941677599997262,0.9853571290076989
0.28,0.14243616123484384,0.3228244309666596,0.34056206581730725,False,0.2304566980772288,0.7551840498704993,0.5975733806578992,0.9902056271999156
0.29,0.1127662806961613,0.29314536174971667,0.3161979162416316,False,0.2315843608841904,0.7581155034879964,0.6007353598203156,0.9946121884299635
0.3,0.0835673482352102,0.2670277808388069,0.2906679429028311,False,0.23242003436654252,0.7607857812963844,0.6036420392493439,0.9985979115473862
0.31,0.057872287669573204,0.24404430963720627,0.2682015663646866,False,0.23299875724323824,0.7632262243927564,0.6063240549129908,1.0022133256167807
0.32,0.035260634371812656,0.20449708157848612,0.23266671813232842,False,0.23335136358695635,0.7652711952085413,0.608650722094314,1.005260445163208
0.33,0.021963533098442747,0.16818241629268368,0.19780092371407404,False,0.23357099891794078,0.7669530193714681,0.6106287313314548,1.007789557886962
0.34,0.010262083977877229,0.13622551084117754,0.1671190246260102,False,0.23367361975771955,0.7683152744798799,0.6122999215777148,1.0098628201562054
0.35,-3.519124822042724e-05,0.10961653863798082,0.14011895342851405,False,0.23367326784523734,0.7694114398662597,0.613701111112,1.0115464466264743
0.36,-0.009096793447186365,0.10145984707994235,0.1282155187847399,False,0.23358229991076548,0.7704260383370591,0.6149832662998473,1.0130752139935946
0.37,-0.01707100338227639,0.0942819585088685,0.11774049629821869,False,0.23341158987694272,0.7713688579221478,0.6161606712628296,1.0144677708394987
0.38,-0.020219303845436833,0.08796541656632352,0.10852247651008,False,0.23320939683848835,0.7722485120878111,0.6172458960279303,1.0157494195710537
0.39,-0.02268332854979061,0.07693761172984244,0.0961372909825925,False,0.23298256355299043,0.7730178882051095,0.6182072689377562,1.0168666371615749
0.4,-0.024851670289621937,0.06723314347373908,0.08523832771840349,False,0.23273404685009422,0.773690219639847,0.6190596522149403,1.0178391550387809
0.41,-0.027066290723900918,0.058693211408368126,0.07564724004591718,True,0.0,0.0,0.0,0.0
0.42,-0.02901515670606642,0.0520754137789447,0.06810722239607524,True,0.0,0.0,0.0,0.0
0.43,-0.030423679067144653,0.048662957949386534,0.0779713734782065,True,0.0,0.0,0.0,0.0
0.44,-0.03144175478993066,0.056435278541885944,0.08670749279830661,True,0.0,0.0,0.0,0.0
0.45,-0.022289541673871892,0.06327492066328542,0.09439527779999471,True,0.0,0.0,0.0,0.0
0.46,-0.014235594131740179,0.06929380573011697,0.10116052860148025,True,0.0,0.0,0.0,0.0
0.47,-0.00714812029466427,0.07413412976926813,0.10711394930678753,True,0.0,0.0,0.0,0.0
0.48,-0.000911143318037471,0.07839361492372116,0.11678992444749914,True,0.0,0.0,0.0,0.0
0.49,0.004577396421394112,0.0778496844477482,0.11813721704253013,True,0.0,0.0,0.0,0.0
0.5,-0.009133985475546197,0.07033844554363143,0.11932283452615741,True,0.0,0.0,0.0,0.0
0.51,-0.021200001544853672,0.06372855530800868,0.12267158079843364,True,0.0,0.0,0.0,0.0
0.52,-0.04080643876568134,0.05512532026226711,0.1256184775180367,True,0.0,0.0,0.0,0.0
0.53,-0.05806010352000968,0.04755447342201452,0.1282117466312874,True,0.0,0.0,0.0,0.0
0.54,-0.07324332850381862,0.024233229941169214,0.130493823450948,True,0.0,0.0,0.0,0.0
0.55,-0.08310269943085531,0.0037105356780253416,0.13250205105224935,True,0.0,0.0,0.0,0.0
0.56,-0.09175867541323939,0.0023094629878817685,0.1325613534220718,True,0.0,0.0,0.0,0.0
0.57,-0.09614046283495317,0.0018688690086384205,0.1326135395075155,True,0.0,0.0,0.0,0.0
0.58,-0.09812156312973291,-0.0017887896805136578,0.12377694521410076,True,0.0,0.0,0.0,0.0
0.59,-0.09854084839088093,-0.005007529326967486,0.11600074223589579,True,0.0,0.0,0.0,0.0
0.6,-0.0983241646195783,-0.006536235244116024,0.1045824723432211,True,0.0,0.0,0.0,0.0
0.61,-0.08764965066439731,-0.007881496451206737,0.09453439483766737,True,0.0,0.0,0.0,0.0
0.62,-0.07825607838383804,-0.010369111285177396,0.08541624820922619,True,0.0,0.0,0.0,0.0
0.63,-0.06925482368121816,-0.016922521831368255,0.07089789174309705,True,0.0,0.0,0.0,0.0
0.64,-0.06206863063864038,-0.0170214286479887,0.0646161254860043,True,0.0,0.0,0.0,0.0
0.65,-0.05574478076117194,-0.01342624801354832,0.06299136524374312,True,0.0,0.0,0.0,0.0
0.66,-0.0446255187654595,-0.010376350790330599,0.0534848807195727,True,0.0,0.0,0.0,0.0
0.67,-0.03484056820923254,-0.007692441233899003,0.05380273969600902,True,0.0,0.0,0.0,0.0
0.68,-0.03570083644452944,-0.005330600824239198,0.05637584849251393,True,0.0,0.0,0.0,0.0
0.69,-0.03828523032510972,-0.005497613900643114,0.05864018423343825,True,0.0,0.0,0.0,0.0
0.7,-0.04055949694002037,-0.0056445854078785605,0.060632799685451655,True,0.0,0.0,0.0,0.0
0.71,-0.04256085156114174,-0.0057739203342457536,0.0632228644678143,True,0.0,0.0,0.0,0.0
0.72,-0.03895880968536517,-0.004337457050967351,0.07136137790729838,True,0.0,0.0,0.0,0.0
0.73,-0.03578901283468179,-0.0030733693616823575,0.07852326973404436,True,0.0,0.0,0.0,0.0
0.74,-0.03299959160608042,-0.001960972195111563,0.08482573454158082,True,0.0,0.0,0.0,0.0
0.75,-0.030544900924911203,-0.0038644050487929432,0.0842004691806992,True,0.0,0.0,0.0,0.0
0.76,-0.028384773125482293,-0.005539425960032558,0.07996704212132458,True,0.0,0.0,0.0,0.0
0.77,-0.026521659475690077,-0.007013444361923419,0.0762416263090749,True,0.0,0.0,0.0,0.0
0.78,-0.022709638574704934,-0.008310580555587376,0.07296326039429518,True,0.0,0.0,0.0,0.0
0.79,-0.014761156827178691,-0.00945206040601166,0.07007829838928903,True,0.0,0.0,0.0,0.0
0.8,-0.006970163927048244,-0.012391044092535518,0.06753953182488362,True,0.0,0.0,0.0,0.0
0.81,-0.0009104191372408029,-0.014977349736676512,0.06266616884708255,True,0.0,0.0,0.0,0.0
0.82,0.004422156277789745,-0.017253298703520586,0.05837760942661761,True,0.0,0.0,0.0,0.0
0.83,0.002343873309876708,-0.017258286125852097,0.05460367713660847,True,0.0,0.0,0.0,0.0
0.84,0.0005149842981132351,-0.01726267505750383,0.05651817857460593,True,0.0,0.0,0.0,0.0
0.85,-0.0010944380322386212,-0.016922298567097604,0.05820293984004369,True,0.0,0.0,0.0,0.0
0.86,-0.0010015249433448865,-0.010488341737172228,0.06227852708718795,True,0.0,0.0,0.0,0.0
0.87,-0.00048640858764810414,-0.005524147208177873,0.0658650438646749,True,0.0,0.0,0.0,0.0
0.88,-3.310619463493564e-05,-0.005273878086275792,0.06902117862886342,True,0.0,0.0,0.0,0.0
0.89,-6.755292625364336e-05,-0.0009354191953890091,0.07733825381912501,True,0.0,0.0,0.0,0.0
0.9,-0.0022426805086447742,0.00288242462859136,0.08465727998655521,True,0.0,0.0,0.0,0.0
0.91,-0.007738794775002574,0.002123905130081133,0.09109802301389379,True,0.0,0.0,0.0,0.0
0.92,-0.012575375329397436,0.000288544034641985,0.09660018336322519,True,0.0,0.0,0.0,0.0
0.93,-0.013249564223411312,-0.004707828104983998,0.09731392231437339,True,0.0,0.0,0.0,0.0
0.94,-0.0076266664844865314,-0.009104635587854862,0.09383698468747267,True,0.0,0.0,0.0,0.0
0.95,-0.002678516474232724,-0.012973826172781224,0.09077727957580005,True,0.0,0.0,0.0,0.0
0.96,0.002238640706644379,-0.009865245225719889,0.0840584241945679,True,0.0,0.0,0.0,0.0
0.97,0.00825355052273009,-0.0019061673404896064,0.07739921016006067,True,0.0,0.0,0.0,0.0
0.98,0.013603658525969451,0.005097821198513043,0.07153910180969432,True,0.0,0.0,0.0,0.0
0.99,0.01831175356882009,0.006037804461019066,0.06638220646137193,True,0.0,0.0,0.0,0.0
1.0,0.022454877206528646,0.006864989732024366,0.06184413855484822,True,0.0,0.0,0.0,0.0
1.01,0.02334717494129575,0.012816439422325339,0.05785063879710736,True,0.0,0.0,0.0,0.0
1.02,0.012762152798247415,0.01820766619989084,0.055785704414472906,True,0.0,0.0,0.0,0.0
1.03,0.0034473333123648782,0.022951945764148485,0.053968562157754585,True,0.0,0.0,0.0,0.0
1.04,-0.0047497078352117545,0.02712691178069521,0.052369476971842466,True,0.0,0.0,0.0,0.0
1.05,-0.0006722781100659079,0.014545733505086696,0.04730329518683106,True,0.0,0.0,0.0,0.0
1.06,0.002915860048062437,0.003474296622551205,0.04284505521602103,True,0.0,0.0,0.0,0.0
1.07,0.006073421627215381,-0.0062685678340800265,0.0389218040417082,True,0.0,0.0,0.0,0.0
1.08,0.006266690916421239,0.002092313241289368,0.04838157286148958,True,0.0,0.0,0.0,0.0
1.09,0.006436767890922394,0.009449888587614436,0.06083716705210698,True,0.0,0.0,0.0,0.0
1.1,0.006586435628483411,0.018166250185879487,0.07179808993985029,True,0.0,0.0,0.0,0.0
1.11,0.008869303194988964,0.025691234177529297,0.08144370208106441,True,0.0,0.0,0.0,0.0
1.12,0.010878226653513852,0.03231322009018113,0.08993184076533284,True,0.0,0.0,0.0,0.0
1.13,0.012646079297015753,0.03828598190813817,0.09740140280748905,True,0.0,0.0,0.0,0.0
1.14,0.006934419411605555,0.04354201230794037,0.10108171836801985,True,0.0,0.0,0.0,0.0
1.15,0.0019081587124445808,0.04802190484494288,0.10432039606128696,True,0.0,0.0,0.0,0.0
1.16,-0.002514950702817077,0.04797342050855591,0.10275821859392527,True,0.0,0.0,0.0,0.0
1.17,0.012707244475666875,0.04793075429253538,0.10138350242264699,True,0.0,0.0,0.0,0.0
1.18,0.02610277623273275,0.04789320802243731,0.1001737521919221,True,0.0,0.0,0.0,0.0
1.19,0.03789084417895072,0.0442039815488908,0.1024474090714014,True,0.0,0.0,0.0,0.0
1.2,0.03912618874467389,0.04095746225216987,0.1044482271253432,True,0.0,0.0,0.0,0.0
1.21,0.02895690484851019,0.03810052527105545,0.10620894701281197,True,0.0,0.0,0.0,0.0
1.22,0.017254435665849877,0.033269060601325555,0.10344474758556743,True,0.0,0.0,0.0,0.0
1.23,0.0069562627851088,0.029017371691963247,0.10101225208959223,True,0.0,0.0,0.0,0.0
1.24,-0.002106129349943347,0.025275885451724416,0.09887165605313405,False,-2.1061293499433487e-05,0.0002527588545172444,0.0009887165605313413,0.0010207306469826722
1.25,-0.010081034428789238,0.008185846348041878,0.10776357408066725,False,-0.00012187163778732596,0.00033461731799766325,0.002066352301338015,0.002096815032101264
1.26,-0.007673949953953509,-0.006853388063198755,0.11859056885821659,False,-0.0001986111373268611,0.00026608343736567565,0.003252257989920182,0.003269163319950575
1.27,0.0028951012340131593,0.023711001654792396,0.14992161096706128,False,-0.0001696601249867295,0.0005031934539135998,0.004751474099590796,0.0047810557755744885
1.28,0.016916306584501436,0.06724019116985704,0.17762583870319143,False,-4.97059141714982e-07,0.001175595365612171,0.006527732486622712,0.006632745745739553
1.29,0.016083710137742284,0.06679421283874407,0.21134831829339185,False,0.000160340042235708,0.0018435374939996122,0.008641215669556633,0.008837134584734896
1.3,0.01535102526459423,0.06640175190736465,0.2456761705123024,False,0.0003138502948816504,0.0025075550130732593,0.011097977374679659,0.01138206641871711
1.31,-0.00048558953375328964,0.08573596077197983,0.2905431901277573,False,0.0003089943995441175,0.0033649146207930586,0.014003409275957234,0.014405332321544742
1.32,-0.014421810556299106,0.08307049008861213,0.32532241371396137,False,0.00016477629398112633,0.00419561952167918,0.01725663341309685,0.01776011743068621
1.33,-0.046279641175758154,0.08060352538768448,0.3559281304698209,False,-0.0002980201177764556,0.005001654775556026,0.02081591471779506,0.02141045707178992
1.34,-0.057818032403879824,0.058213587588177275,0.3828611612149773,False,-0.0008762004418152545,0.0055837906514377995,0.02464452632994484,0.0252843651943383
1.35,-0.0679718166846269,0.0587294511873018,0.4082644492957927,False,-0.001555918608661524,0.006171085163310818,0.02872717082290277,0.029423689746492544
1.36,-0.07980914682805106,0.05918341115453139,0.4306193428069102,False,-0.0023540100769420353,0.006762919274856132,0.03303336425097188,0.03380061529466516
1.37,-0.09022599735426431,0.033964026522657766,0.4628660091382559,False,-0.0032562700504846793,0.00710255954008271,0.03766202434235444,0.03846397956824283
1.38,-0.09939282581733197,-0.005291718121143801,0.4912430755098401,False,-0.004250198308657978,0.007049642358871273,0.04257445509745274,0.0433629550410939
1.39,-0.14442852302439313,-0.012467547915954969,0.6157720795012563,False,-0.00569448353890191,0.006924966879711723,0.048732175892465306,0.0495500481964862
1.4,-0.20023119642267245,-0.018782278135388797,0.7253576030137027,False,-0.007696795503128637,0.0067371440983578345,0.05598575192260234,0.0569125134742632
1.41,-0.23316628915709275,-0.08581274782407641,0.7222356781202333,False,-0.010028458394699567,0.00587901662011707,0.06320810870380468,0.06426817112775049
1.42,-0.26916594433694635,-0.21898493578378192,0.7000308053788644,False,-0.012720117838069034,0.0036891672622792484,0.07020841675759333,0.07144671536544803
1.43,-0.37650307827042223,-0.24690746573869335,0.7848626218271108,False,-0.01648514862077326,0.0012200926048923128,0.07805704297586444,0.07978816145988979
1.44,-0.43792318012095016,-0.31665503027559666,0.7551425158409165,False,-0.020864380421982767,-0.0019464576978636566,0.08560846813427361,0.08813580931868574
1.45,-0.44935200838514083,-0.4221261443411197,0.7124394993414921,False,-0.02535790050583418,-0.006167719141274857,0.09273286312768854,0.09633508074075638
1.46,-0.45940937725762865,-0.540442042291265,0.6311158682690123,False,-0.02995199427841047,-0.011572139564187511,0.09904402181037866,0.10411894463411417
1.47,-0.5034972000154612,-0.5749654576418597,0.6032960494782165,False,-0.03498696627856509,-0.01732179414060611,0.10507698230516083,0.11209506934734492
1.48,-0.5422944840423538,-0.605346063150383,0.5788146089423161,False,-0.04040991111898863,-0.023375254772109947,0.110865128394584,0.1202931425570602
1.49,-0.48347247695373763,-0.6489759232695596,0.4253797386553727,False,-0.04524463588852601,-0.029865014004805547,0.11511892578113773,0.12724528757952344
1.5,-0.43170911071575546,-0.687370200174435,0.2903570528028625,False,-0.049561726995683564,-0.036738716006549904,0.11802249630916636,0.13317435065226255
1.51,-0.38875244170104156,-0.6932142853155884,0.17766768829407192,False,-0.05344925141269398,-0.04367085885970579,0.11979917319210709,0.13825993015922647
1.52,-0.35095057296809334,-0.6983570802398034,0.07850104752633623,False,-0.056958757142374916,-0.05065442966210383,0.12058418366737045,0.14265593787264236
1.53,-0.3176849284830989,-0.6699130817389469,-0.008765596349271196,False,-0.06013560642720591,-0.057353560479493304,0.12049652770387774,0.14637327368319014
1.54,-0.28841116133630385,-0.6374519315886007,-0.08556024295980573,False,-0.06301971804056895,-0.06372807979537931,0.11964092527427968,0.14948814005400166
1.55,-0.26265024624712413,-0.608886119456296,-0.13927253110875212,False,-0.0656462205030402,-0.06981694098994227,0.11824819996319215,0.1522053491506193
1.56,-0.24770188792115297,-0.581544571656745,-0.18301054218636886,False,-0.06812323938225173,-0.07563238670650974,0.11641809454132845,0.1546421882911914
1.57,-0.2119984244123314,-0.559687642716263,-0.2214999919346716,False,-0.07024322362637504,-0.08122926313367237,0.11420309462198174,0.15676303925320417
1.58,-0.15631777887634585,-0.538249912125516,-0.255370707713178,False,-0.0718064014151385,-0.08661176225492753,0.11164938754484996,0.1585034459695946
1.59,-0.10875589924676529,-0.5218920570725596,-0.2851769375982636,False,-0.07289396040760615,-0.09183068282565313,0.10879761816886732,0.15994788367262008
1.6,-0.06690144517273441,-0.507497144625958,-0.2806298141205069,False,-0.0735629748593335,-0.09690565427191271,0.10599132002766225,0.16135791589267853
