time_seconds,world_acc_x,world_acc_y,world_acc_z,vehicle_forward,vehicle_right,vehicle_down
0.019504,2.305616,8.439561,-6.500257999999999,2.305616,8.439561,6.500257999999999
0.024202,2.5187,8.355764,-6.514622999999999,2.5187,8.355764,6.514622999999999
0.039519,3.174711,8.394072,-6.397307,3.174711,8.394072,6.397307
0.059027,0.1496508456028917,-0.247846951121239,-0.0985048527965322,0.1496508456028917,-0.247846951121239,0.0985048527965322
0.078503,-0.0955654334777457,-0.16553280907731,-0.0277854793693332,-0.0955654334777457,-0.16553280907731,0.0277854793693332
0.09817,-0.1521118174737769,0.0288555080304207,-0.0305098833951262,-0.1521118174737769,0.0288555080304207,0.0305098833951262
0.118543,-0.179439418909912,0.0091440601834861,-0.046414954176889,-0.179439418909912,0.0091440601834861,0.046414954176889
0.138369,-0.2243581367124498,-0.1607008455139223,0.0013385231158409,-0.2243581367124498,-0.1607008455139223,-0.0013385231158409
0.158983,-0.2198382454072344,-0.324401862314763,0.1017559120716278,-0.2198382454072344,-0.324401862314763,-0.1017559120716278
0.178772,-0.1243833299049699,-0.3403629084382781,0.0780456534196432,-0.1243833299049699,-0.3403629084382781,-0.0780456534196432
0.198839,-0.132967872706775,-0.0726286188921536,-0.0107239514433015,-0.132967872706775,-0.0726286188921536,0.0107239514433015
0.2189,-0.0147902117882963,0.095015584872682,-0.1035615708708217,-0.0147902117882963,0.095015584872682,0.1035615708708217
0.239016,0.1837983504189992,0.0296340072301856,-0.017127077210004,0.1837983504189992,0.0296340072301856,0.017127077210004
0.259049,0.1607863590192331,-0.0679125786547036,-0.0203576750618772,0.1607863590192331,-0.0679125786547036,0.0203576750618772
0.279679,0.2938491442125188,-0.0576893933922441,-0.1252236089333589,0.2938491442125188,-0.0576893933922441,0.1252236089333589
0.299294,0.0600496897950869,0.2649284958869196,-0.1079989529129061,0.0600496897950869,0.2649284958869196,0.1079989529129061
0.319242,0.1545274970721563,0.1710527764668175,-0.2006719899510187,0.1545274970721563,0.1710527764668175,0.2006719899510187
0.339171,0.0957170752275215,0.1051784216587795,-0.1008471021719064,0.0957170752275215,0.1051784216587795,0.1008471021719064
0.35978,0.0715172774539864,-0.0610538179439187,0.0060213549335284,0.0715172774539864,-0.0610538179439187,-0.0060213549335284
0.379354,0.1099408166882053,-0.2338218389796932,0.1043781190673183,0.1099408166882053,-0.2338218389796932,-0.1043781190673183
0.399492,0.0582703663079772,-0.0959912931975629,0.0405316011565268,0.0582703663079772,-0.0959912931975629,-0.0405316011565268
0.419252,0.2297925526728312,0.0413121483960875,-0.0608525492494944,0.2297925526728312,0.0413121483960875,0.0608525492494944
0.439625,0.3186888310078009,0.2302702165441455,0.0064371163270848,0.3186888310078009,0.2302702165441455,-0.0064371163270848
0.459704,0.276018311232649,0.0901126980211667,-0.0085457403921918,0.276018311232649,0.0901126980211667,0.0085457403921918
0.480025,0.0568851218784158,0.000347829357126,-0.151967819059724,0.0568851218784158,0.000347829357126,0.151967819059724
0.500253,-0.0866725049511878,0.1420658590652585,-0.4021948392285086,-0.0866725049511878,0.1420658590652585,0.4021948392285086
0.52,-0.0926091438405581,0.0358233499901011,-0.2357461490749663,-0.0926091438405581,0.0358233499901011,0.2357461490749663
0.539647,0.181787871079158,-0.1805210403050288,-0.1375274860200104,0.181787871079158,-0.1805210403050288,0.1375274860200104
0.560247,0.1463557372467911,-0.1089477491174271,-0.0669293980754677,0.1463557372467911,-0.1089477491174271,0.0669293980754677
0.579919,-0.1048128432541772,0.0903336606275079,-0.2771456767376072,-0.1048128432541772,0.0903336606275079,0.2771456767376072
0.600047,-0.16856400404306,0.1839596782992995,-0.228200259188597,-0.16856400404306,0.1839596782992995,0.228200259188597
0.619793,-0.1305581564784314,0.0754988541588016,-0.1034481384182939,-0.1305581564784314,0.0754988541588016,0.1034481384182939
0.640071,-0.1481937068596633,-0.0981251291365342,0.0279221689049649,-0.1481937068596633,-0.0981251291365342,-0.0279221689049649
0.660458,-0.038672698006339,-0.1093891086549992,0.0988407189108802,-0.038672698006339,-0.1093891086549992,-0.0988407189108802
0.680539,0.016286390068366,-0.0855159241854617,0.1218147320876994,0.016286390068366,-0.0855159241854617,-0.1218147320876994
0.700175,-0.0755485429062699,-0.1271249065997445,0.0578815686864579,-0.0755485429062699,-0.1271249065997445,-0.0578815686864579
0.720824,-0.155073085367359,0.0416441089876603,-0.0409236647303963,-0.155073085367359,0.0416441089876603,0.0409236647303963
0.740352,-0.0949149421110761,0.2251729816327344,-0.0914516338193269,-0.0949149421110761,0.2251729816327344,0.0914516338193269
0.760819,-0.039058496067107,0.1395433802964069,-0.1000700918222783,-0.039058496067107,0.1395433802964069,0.1000700918222783
0.780709,-0.0367513059972675,-0.0039329570710189,-0.0053125971143508,-0.0367513059972675,-0.0039329570710189,0.0053125971143508
0.800475,-0.0433068405752801,-0.094780635148031,0.0057484535228873,-0.0433068405752801,-0.094780635148031,-0.0057484535228873
0.820665,-0.040752843048385,-0.0770268948855278,0.0229125615333352,-0.040752843048385,-0.0770268948855278,-0.0229125615333352
0.8409,-0.205624859133787,0.02363828186596,-0.0128137596305677,-0.205624859133787,0.02363828186596,0.0128137596305677
0.861094,-0.1340855482199388,0.0035448978298396,-0.1503084814138358,-0.1340855482199388,0.0035448978298396,0.1503084814138358
0.880796,-0.0389076434236947,0.113432296220215,-0.2005782627877259,-0.0389076434236947,0.113432296220215,0.2005782627877259
0.900932,0.0801088828600722,0.1742059278171844,-0.1507723678123742,0.0801088828600722,0.1742059278171844,0.1507723678123742
