time_seconds,world_acc_x,world_acc_y,world_acc_z,linear_acc_x,linear_acc_y,linear_acc_z
0.019504,2.305616,8.439561,3.306392,2.305616,8.439561,-6.500257999999999
0.024202,2.5187,8.355764,3.292027,2.5187,8.355764,-6.514622999999999
0.039519,3.174711,8.394072,3.409343,3.174711,8.394072,-6.397307
0.059027,0.14965084560289177,-0.247846951121239,9.708145147203467,0.14965084560289177,-0.247846951121239,-0.0985048527965322
0.078503,-0.09556543347774574,-0.16553280907731002,9.778864520630666,-0.09556543347774574,-0.16553280907731002,-0.027785479369333288
0.09817,-0.15211181747377694,0.028855508030420723,9.776140116604873,-0.15211181747377694,0.028855508030420723,-0.03050988339512628
0.118543,-0.17943941890991202,0.009144060183486166,9.76023504582311,-0.17943941890991202,0.009144060183486166,-0.04641495417688901
0.138369,-0.22435813671244983,-0.16070084551392236,9.80798852311584,-0.22435813671244983,-0.16070084551392236,0.0013385231158409283
0.158983,-0.21983824540723446,-0.32440186231476303,9.908405912071627,-0.21983824540723446,-0.32440186231476303,0.10175591207162782
0.178772,-0.12438332990496993,-0.34036290843827816,9.884695653419643,-0.12438332990496993,-0.34036290843827816,0.0780456534196432
0.198839,-0.13296787270677501,-0.07262861889215368,9.795926048556698,-0.13296787270677501,-0.07262861889215368,-0.010723951443301516
0.2189,-0.014790211788296388,0.09501558487268202,9.703088429129178,-0.014790211788296388,0.09501558487268202,-0.10356157087082174
0.239016,0.18379835041899925,0.02963400723018569,9.789522922789995,0.18379835041899925,0.02963400723018569,-0.01712707721000406
0.259049,0.16078635901923316,-0.06791257865470363,9.786292324938122,0.16078635901923316,-0.06791257865470363,-0.020357675061877245
0.279679,0.29384914421251884,-0.05768939339224413,9.68142639106664,0.29384914421251884,-0.05768939339224413,-0.12522360893335893
0.299294,0.06004968979508697,0.26492849588691963,9.698651047087093,0.06004968979508697,0.26492849588691963,-0.10799895291290618
0.319242,0.1545274970721563,0.17105277646681755,9.60597801004898,0.1545274970721563,0.17105277646681755,-0.20067198995101876
0.339171,0.09571707522752158,0.10517842165877955,9.705802897828093,0.09571707522752158,0.10517842165877955,-0.1008471021719064
0.35978,0.07151727745398642,-0.061053817943918745,9.812671354933528,0.07151727745398642,-0.061053817943918745,0.0060213549335284
0.379354,0.10994081668820539,-0.23382183897969325,9.911028119067318,0.10994081668820539,-0.23382183897969325,0.10437811906731831
0.399492,0.05827036630797729,-0.09599129319756296,9.847181601156526,0.05827036630797729,-0.09599129319756296,0.040531601156526875
0.419252,0.22979255267283122,0.04131214839608754,9.745797450750505,0.22979255267283122,0.04131214839608754,-0.06085254924949446
0.439625,0.3186888310078009,0.23027021654414556,9.813087116327084,0.3186888310078009,0.23027021654414556,0.00643711632708488
0.459704,0.276018311232649,0.09011269802116678,9.798104259607808,0.276018311232649,0.09011269802116678,-0.008545740392191803
0.480025,0.05688512187841587,0.00034782935712604376,9.654682180940275,0.05688512187841587,0.00034782935712604376,-0.151967819059724
0.500253,-0.08667250495118789,0.14206585906525857,9.40445516077149,-0.08667250495118789,0.14206585906525857,-0.4021948392285086
0.52,-0.09260914384055813,0.03582334999010117,9.570903850925033,-0.09260914384055813,0.03582334999010117,-0.23574614907496638
0.539647,0.18178787107915806,-0.18052104030502883,9.669122513979989,0.18178787107915806,-0.18052104030502883,-0.13752748602001041
0.560247,0.14635573724679113,-0.10894774911742713,9.739720601924532,0.14635573724679113,-0.10894774911742713,-0.06692939807546772
0.579919,-0.1048128432541772,0.09033366062750796,9.529504323262392,-0.1048128432541772,0.09033366062750796,-0.27714567673760726
0.600047,-0.16856400404306005,0.1839596782992995,9.578449740811402,-0.16856400404306005,0.1839596782992995,-0.228200259188597
0.619793,-0.13055815647843147,0.07549885415880166,9.703201861581706,-0.13055815647843147,0.07549885415880166,-0.10344813841829392
0.640071,-0.14819370685966338,-0.09812512913653429,9.834572168904964,-0.14819370685966338,-0.09812512913653429,0.027922168904964906
0.660458,-0.03867269800633905,-0.10938910865499929,9.90549071891088,-0.03867269800633905,-0.10938910865499929,0.0988407189108802
0.680539,0.016286390068366012,-0.08551592418546179,9.928464732087699,0.016286390068366012,-0.08551592418546179,0.12181473208769944
0.700175,-0.07554854290626999,-0.12712490659974454,9.864531568686457,-0.07554854290626999,-0.12712490659974454,0.057881568686457996
0.720824,-0.155073085367359,0.04164410898766032,9.765726335269603,-0.155073085367359,0.04164410898766032,-0.040923664730396325
0.740352,-0.09491494211107619,0.22517298163273441,9.715198366180672,-0.09491494211107619,0.22517298163273441,-0.09145163381932697
0.760819,-0.039058496067107,0.13954338029640698,9.706579908177721,-0.039058496067107,0.13954338029640698,-0.10007009182227833
0.780709,-0.03675130599726759,-0.003932957071018952,9.801337402885649,-0.03675130599726759,-0.003932957071018952,-0.005312597114350837
0.800475,-0.04330684057528011,-0.09478063514803106,9.812398453522887,-0.04330684057528011,-0.09478063514803106,0.005748453522887331
0.820665,-0.040752843048385085,-0.07702689488552784,9.829562561533335,-0.040752843048385085,-0.07702689488552784,0.022912561533335207
0.8409,-0.205624859133787,0.02363828186596007,9.793836240369432,-0.205624859133787,0.02363828186596007,-0.012813759630567745
0.861094,-0.13408554821993887,0.0035448978298396267,9.656341518586164,-0.13408554821993887,0.0035448978298396267,-0.1503084814138358
0.880796,-0.0389076434236947,0.11343229622021503,9.606071737212273,-0.0389076434236947,0.11343229622021503,-0.20057826278772595
0.900932,0.08010888286007227,0.17420592781718447,9.655877632187625,0.08010888286007227,0.17420592781718447,-0.15077236781237424
0.921063,0.26613484347322375,0.21498316735121184,9.601237066549242,0.26613484347322375,0.21498316735121184,-0.2054129334507575
0.941355,0.04482668784389241,0.10962983938971002,9.731255466792161,0.04482668784389241,0.10962983938971002,-0.07539453320783807
0.961227,-0.16034400424936476,-0.04667245383163127,9.678632637260575,-0.16034400424936476,-0.04667245383163127,-0.1280173627394241
0.981014,-0.1096841193864418,0.015256026913441873,9.618902924520615,-0.1096841193864418,0.015256026913441873,-0.1877470754793844
1.001414,0.18116191478885804,0.20078779636110958,9.611142829441068,0.18116191478885804,0.20078779636110958,-0.19550717055893152
1.020894,0.2145619552137619,0.07386086095727996,9.737984182474909,0.2145619552137619,0.07386086095727996,-0.06866581752509049
1.041316,-0.18458697838508425,-0.17194861496195535,9.745191396589002,-0.18458697838508425,-0.17194861496195535,-0.061458603410997625
1.06126,-0.3243238723801896,-0.1467892222516964,9.659420946538207,-0.3243238723801896,-0.1467892222516964,-0.1472290534617926
1.081562,-0.2340915234658247,-0.007965070073171175,9.595497427760595,-0.2340915234658247,-0.007965070073171175,-0.21115257223940453
1.101316,-0.15540475289579103,0.021116679951673923,9.59236496030542,-0.15540475289579103,0.021116679951673923,-0.21428503969457857
1.121519,-0.15523583261738938,-0.16606987419750927,9.808370957070123,-0.15523583261738938,-0.16606987419750927,0.001720957070123319
1.141454,-0.12827357059418756,-0.24953693713714456,9.74767474627094,-0.12827357059418756,-0.24953693713714456,-0.05897525372905932
1.162623,-0.101615606972633,-0.001362153505812846,9.673653762532563,-0.101615606972633,-0.001362153505812846,-0.13299623746743627
1.181554,-0.09673515029669233,0.03047551812199614,9.662713279039501,-0.09673515029669233,0.03047551812199614,-0.14393672096049848
1.201809,-0.11264963195811761,-0.028611620067628962,9.785801506869726,-0.11264963195811761,-0.028611620067628962,-0.020848493130273482
1.221686,-0.003245622528672394,-0.07968270658417036,9.842220055675183,-0.003245622528672394,-0.07968270658417036,0.035570055675183454
1.241835,0.002025563513588531,-0.017746745303205302,9.788100160399342,0.002025563513588531,-0.017746745303205302,-0.01854983960065759
1.261915,-0.00936988165973677,0.06110438008492077,9.755573543199505,-0.00936988165973677,0.06110438008492077,-0.05107645680049444
