time_seconds,forward_acceleration,right_acceleration,down_acceleration,acceleration_magnitude,stationary,forward_velocity,right_velocity,down_velocity
0.019504,2.305616,8.439561,6.500257999999999,10.899330671134855,False,0.0,0.0,0.0
0.024202,2.5187,8.355764,6.514622999999999,10.890498360764994,False,0.011832852600000002,0.03925537927200001,0.030605698854000003
0.039519,3.174711,8.394072,6.397307,11.021105730685736,False,0.06045990098699999,0.16782738009599998,0.12859325017299997
0.059027,0.1496508456028917,-0.247846951121239,0.0985048527965322,0.3058213412994928,False,0.0633792896830212,0.16299238177352685,0.1305148828413547
0.078503,-0.0955654334777457,-0.16553280907731,0.0277854793693332,0.1931473422561083,False,0.06151805730060862,0.15976846478393716,0.13105603283755185
0.09817,-0.1521118174737769,0.0288555080304207,0.0305098833951262,0.15780208599271903,False,0.05852647418635185,0.16033596606037145,0.13165607071428378
0.118543,-0.179439418909912,0.0091440601834861,0.046414954176889,0.18557065195393585,False,0.05487075490490022,0.16052225799848963,0.13260168257572955
0.138369,-0.2243581367124498,-0.1607008455139223,-0.0013385231158409,0.27597667818513844,False,0.05042263048643919,0.1573362030353306,0.1325751450164349
0.158983,-0.2198382454072344,-0.324401862314763,-0.1017559120716278,0.40486996438183304,False,0.04589088489561446,0.1506489830455741,0.13047754864499034
0.178772,-0.1243833299049699,-0.3403629084382781,-0.0780456534196432,0.37068753177914054,False,0.043429463180125014,0.143913541450489,0.12893310320946902
0.198839,-0.132967872706775,-0.0726286188921536,0.0107239514433015,0.15188934982053579,False,0.04076119687851816,0.14245610295518016,0.12914830074308176
0.2189,-0.0147902117882963,0.095015584872682,0.1035615708708217,0.14132130304618876,True,0.0,0.0,0.0
0.239016,0.1837983504189992,0.0296340072301856,0.017127077210004,0.18695813642369608,False,0.0036972876170285867,0.0005961176894424134,0.0003445282851564404
0.259049,0.1607863590192331,-0.0679125786547036,0.0203576750618772,0.17572366522502883,False,0.0069183207472608785,-0.0007643749987472616,0.0007523535896710256
0.279679,0.2938491442125188,-0.0576893933922441,0.1252236089333589,0.3245864105268265,False,0.012980428592365152,-0.0019545071844292595,0.003335716641966225
0.299294,0.0600496897950869,0.2649284958869196,0.1079989529129061,0.29233003097129084,False,0.014158303257695782,0.0032420652623926663,0.005454116103352877
